               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.017879,           0.0063688,                   0,             0.99545,             0.99523,               0.995,             0.61014,            0.027201,           0.0060008,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.017153,           0.0059037,                   0,             0.99861,             0.98636,             0.99491,             0.62667,            0.027067,            0.006064,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.016665,           0.0059306,                   0,                   1,             0.99031,               0.995,             0.62965,            0.026923,           0.0060998,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.016294,           0.0058616,                   0,             0.99965,             0.99545,               0.995,             0.63074,             0.02619,           0.0060114,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.016343,           0.0060957,                   0,             0.99949,             0.99091,               0.995,             0.63663,            0.026472,           0.0061486,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.015408,           0.0056182,                   0,             0.99545,             0.99502,               0.995,             0.63925,            0.026085,           0.0061216,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01518,           0.0055911,                   0,              0.9995,             0.98636,             0.99495,               0.624,            0.026333,            0.006171,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.015508,           0.0056667,                   0,             0.99543,             0.99018,             0.99495,             0.62884,            0.026253,           0.0062791,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.014996,           0.0056496,                   0,             0.99513,             0.99091,             0.99491,             0.63269,            0.026108,           0.0062264,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.014317,           0.0054774,                   0,                   1,             0.99464,               0.995,             0.64498,            0.025425,           0.0060893,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.014052,           0.0052657,                   0,             0.99098,             0.99826,               0.995,             0.64115,            0.025848,           0.0062749,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.014573,           0.0053457,                   0,                   1,             0.99084,               0.995,              0.6419,            0.025768,           0.0062736,                   0,            0.000496,            0.000496,            0.000496
